City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Warrington,GB,2022-01-27 00:06:22,53.3925,-2.5802,50.9,87,100,7.0
1,Acarau,BR,2022-01-27 00:01:25,-2.8856,-40.12,78.01,86,100,10.16
2,Busselton,AU,2022-01-27 00:06:22,-33.65,115.3333,66.04,63,1,13.78
3,Avarua,CK,2022-01-27 00:06:22,-21.2078,-159.775,82.45,89,75,13.8
4,Dikson,RU,2022-01-27 00:06:23,73.5069,80.5464,13.14,93,100,28.1
5,Esperance,AU,2022-01-27 00:06:23,-33.8667,121.9,64.24,82,90,6.4
6,Puerto Ayora,EC,2022-01-27 00:06:23,-0.7393,-90.3518,74.41,86,86,8.25
7,Yellowknife,CA,2022-01-27 00:06:24,62.456,-114.3525,4.41,91,100,3.2
8,Goderich,CA,2022-01-27 00:06:24,43.7501,-81.7165,13.91,74,95,15.84
9,North Bend,US,2022-01-27 00:06:25,43.4065,-124.2243,54.91,85,0,4.61
10,Pingxiang,CN,2022-01-27 00:06:25,27.6167,113.85,41.34,96,100,2.42
11,Bluff,NZ,2022-01-27 00:06:26,-46.6,168.3333,58.8,55,84,9.69
12,New Norfolk,AU,2022-01-27 00:06:26,-42.7826,147.0587,72.66,53,100,1.99
13,Bengkulu,ID,2022-01-27 00:06:27,-3.8004,102.2655,77.27,84,100,3.53
14,Mataura,NZ,2022-01-27 00:06:27,-46.1927,168.8643,58.48,46,60,8.01
15,Torbay,CA,2022-01-27 00:05:30,47.6666,-52.7314,35.76,95,100,3.0
16,Butaritari,KI,2022-01-27 00:02:11,3.0707,172.7902,81.97,78,33,13.44
17,Thompson,CA,2022-01-27 00:04:26,55.7435,-97.8558,-6.56,85,100,13.67
18,Hilo,US,2022-01-27 00:02:15,19.7297,-155.09,77.25,78,42,3.0
19,Punta Arenas,CL,2022-01-27 00:05:42,-53.15,-70.9167,51.91,71,40,32.21
20,Namie,JP,2022-01-27 00:06:28,37.4833,141.0,43.99,54,44,9.48
21,Charters Towers,AU,2022-01-27 00:06:29,-20.1,146.2667,76.87,82,100,8.1
22,Bredasdorp,ZA,2022-01-27 00:06:29,-34.5322,20.0403,64.27,87,91,7.14
23,Trairi,BR,2022-01-27 00:06:30,-3.2778,-39.2689,77.77,88,100,7.94
24,Pazaric,BA,2022-01-27 00:06:30,43.7886,18.1608,17.42,100,21,1.12
25,Ushuaia,AR,2022-01-27 00:04:56,-54.8,-68.3,51.46,71,75,31.07
26,Mehran,IR,2022-01-27 00:06:31,33.1222,46.1646,54.01,65,0,11.36
27,Saint George,US,2022-01-27 00:01:41,37.1041,-113.5841,54.07,22,0,3.0
28,Saint-Philippe,RE,2022-01-27 00:06:31,-21.3585,55.7679,71.19,68,58,8.7
29,Vilhena,BR,2022-01-27 00:06:31,-12.7406,-60.1458,70.45,96,97,3.58
30,Sao Felix Do Xingu,BR,2022-01-27 00:06:32,-6.6447,-51.995,72.97,94,99,0.49
31,Wau,SS,2022-01-27 00:06:32,7.7029,27.9953,78.49,19,99,9.95
32,Bambous Virieux,MU,2022-01-27 00:06:32,-20.3428,57.7575,76.17,71,61,9.64
33,Concepcion,CL,2022-01-27 00:05:14,-36.827,-73.0498,62.4,82,75,6.91
34,Cap Malheureux,MU,2022-01-27 00:06:33,-19.9842,57.6142,77.43,66,16,9.78
35,Qui Nhon,VN,2022-01-27 00:03:31,13.7667,109.2333,72.07,83,83,8.55
36,Nome,US,2022-01-27 00:06:34,64.5011,-165.4064,-15.84,83,0,0.0
37,Hermanus,ZA,2022-01-27 00:03:22,-34.4187,19.2345,64.8,81,67,10.87
38,Provideniya,RU,2022-01-27 00:06:34,64.3833,-173.3,-3.64,71,75,4.47
39,Tocopilla,CL,2022-01-27 00:06:35,-22.092,-70.1979,68.5,69,23,5.1
40,Gemena,CD,2022-01-27 00:06:35,3.25,19.7667,71.31,42,100,2.59
41,Rikitea,PF,2022-01-27 00:06:36,-23.1203,-134.9692,78.44,77,9,17.16
42,Ribeira Grande,PT,2022-01-27 00:06:36,38.5167,-28.7,59.52,78,15,15.12
43,Upernavik,GL,2022-01-27 00:06:36,72.7868,-56.1549,9.72,88,93,26.96
44,Gallup,US,2022-01-27 00:06:37,35.5281,-108.7426,43.56,46,0,1.01
45,Monte Alegre,BR,2022-01-27 00:06:37,-2.0078,-54.0692,79.12,71,100,2.95
46,East London,ZA,2022-01-27 00:06:37,-33.0153,27.9116,73.62,92,66,3.78
47,Port Alfred,ZA,2022-01-27 00:07:38,-33.5906,26.891,72.64,92,95,3.33
48,Waipawa,NZ,2022-01-27 00:07:38,-41.4122,175.5153,60.3,56,92,19.66
49,Kaeo,NZ,2022-01-27 00:07:39,-35.1,173.7833,76.32,64,63,4.25
50,Byron Bay,AU,2022-01-27 00:07:39,-28.65,153.6167,81.05,60,14,9.1
51,Hobart,AU,2022-01-27 00:07:39,-42.8794,147.3294,73.02,59,100,1.99
52,Vila Velha,BR,2022-01-27 00:05:22,-20.3297,-40.2925,75.94,83,0,5.01
53,Mar Del Plata,AR,2022-01-27 00:06:17,-38.0023,-57.5575,64.09,69,40,1.99
54,Souillac,MU,2022-01-27 00:07:40,-20.5167,57.5167,75.29,76,70,8.08
55,Vardo,NO,2022-01-27 00:07:40,70.3705,31.1107,25.36,73,51,16.55
56,Faya,SA,2022-01-27 00:07:41,18.3851,42.4509,52.32,68,13,6.26
57,Lebu,CL,2022-01-27 00:07:41,-37.6167,-73.65,60.67,83,0,9.04
58,Koltsovo,RU,2022-01-27 00:07:42,54.9376,83.1825,-5.19,82,91,2.15
59,Cairns,AU,2022-01-27 00:06:18,-16.9167,145.7667,86.11,78,100,1.14
60,Hornepayne,CA,2022-01-27 00:07:42,49.2138,-84.7705,11.64,79,100,20.2
61,Krasnoselkup,RU,2022-01-27 00:07:43,65.7,82.4667,-4.04,96,100,17.54
62,Perth,AU,2022-01-27 00:05:45,-31.9333,115.8333,73.04,63,20,8.05
63,Sorland,NO,2022-01-27 00:07:43,67.667,12.6934,38.41,77,97,12.1
64,Paramonga,PE,2022-01-27 00:07:44,-10.6667,-77.8333,72.18,81,57,7.94
65,Bereda,ES,2022-01-27 00:07:44,43.2686,-7.5406,45.91,100,54,1.88
66,Lasa,IT,2022-01-27 00:07:44,46.6166,10.7002,31.37,55,21,5.84
67,Georgetown,MY,2022-01-27 00:04:18,5.4112,100.3354,78.73,83,20,0.0
68,The Valley,AI,2022-01-27 00:07:45,18.217,-63.0578,77.83,75,6,12.44
69,Salta,AR,2022-01-27 00:07:45,-24.7859,-65.4117,66.58,94,86,8.01
70,Solvychegodsk,RU,2022-01-27 00:07:46,61.3305,46.9156,-4.04,100,96,2.93
71,Cabo San Lucas,MX,2022-01-27 00:07:46,22.8909,-109.9124,75.61,56,0,9.22
72,Westport,US,2022-01-27 00:07:46,41.1415,-73.3579,25.75,45,0,1.99
73,Palizada,MX,2022-01-27 00:07:47,18.25,-92.0833,76.98,94,8,6.35
74,Albany,US,2022-01-27 00:06:12,42.6001,-73.9662,14.36,55,12,4.0
75,Coquimbo,CL,2022-01-27 00:07:48,-29.9533,-71.3436,63.54,81,4,7.14
76,Mahebourg,MU,2022-01-27 00:07:48,-20.4081,57.7,76.08,73,67,9.71
77,Qaanaaq,GL,2022-01-27 00:07:48,77.484,-69.3632,-8.48,61,74,8.14
78,Fare,PF,2022-01-27 00:07:49,-16.7,-151.0167,80.73,77,72,16.93
79,Faanui,PF,2022-01-27 00:07:49,-16.4833,-151.75,81.09,76,74,17.43
80,Bintulu,MY,2022-01-27 00:07:50,3.1667,113.0333,76.12,92,99,3.83
81,Arraial Do Cabo,BR,2022-01-27 00:07:50,-22.9661,-42.0278,76.26,87,0,26.87
82,San Lawrenz,MT,2022-01-27 00:07:51,36.0553,14.204,44.01,69,0,13.35
83,Christchurch,NZ,2022-01-27 00:05:32,-43.5333,172.6333,64.02,57,40,11.01
84,Lagoa,PT,2022-01-27 00:07:51,39.05,-27.9833,58.64,79,8,12.28
85,Necochea,AR,2022-01-27 00:07:52,-38.5473,-58.7368,63.03,59,0,15.5
86,Vaini,TO,2022-01-27 00:07:52,-21.2,-175.2,80.82,72,90,7.45
87,Jijiga,ET,2022-01-27 00:07:52,9.35,42.8,55.67,30,1,6.93
88,Bethel,US,2022-01-27 00:07:53,41.3712,-73.414,23.0,53,0,5.75
89,Bukama,CD,2022-01-27 00:07:53,-9.2,25.85,68.05,97,100,2.35
90,Mataram,ID,2022-01-27 00:07:53,-8.5833,116.1167,79.61,83,100,5.55
91,Tasiilaq,GL,2022-01-27 00:07:54,65.6145,-37.6368,15.96,79,100,6.17
92,Kavieng,PG,2022-01-27 00:08:54,-2.5744,150.7967,83.97,75,88,8.93
93,Hamilton,US,2022-01-27 00:06:02,39.1834,-84.5333,21.4,58,0,0.0
94,Cherskiy,RU,2022-01-27 00:08:55,68.75,161.3,-43.6,99,48,3.89
95,Tuktoyaktuk,CA,2022-01-27 00:08:55,69.4541,-133.0374,-7.94,92,78,17.76
96,Khatanga,RU,2022-01-27 00:08:55,71.9667,102.5,0.39,87,100,13.02
97,San Carlos Del Zulia,VE,2022-01-27 00:08:56,9.0,-71.9135,78.01,77,99,4.68
98,Hofn,IS,2022-01-27 00:08:56,64.2539,-15.2082,31.98,58,100,7.09
99,Salalah,OM,2022-01-27 00:08:56,17.0151,54.0924,65.98,59,0,2.46
100,Miyako,JP,2022-01-27 00:08:57,39.6367,141.9525,36.68,57,17,10.94
101,Kasongo-Lunda,CD,2022-01-27 00:08:57,-6.4667,16.8167,68.14,98,91,0.92
102,Cayenne,GF,2022-01-27 00:08:58,4.9333,-52.3333,75.24,94,100,5.75
103,Kerman,IR,2022-01-27 00:08:58,30.2832,57.0788,47.44,35,0,2.3
104,Chokurdakh,RU,2022-01-27 00:08:58,70.6333,147.9167,-27.94,97,38,12.33
105,Leningradskiy,RU,2022-01-27 00:08:59,69.3833,178.4167,-25.83,90,27,3.65
106,Nikolskoye,RU,2022-01-27 00:08:59,59.7035,30.7861,25.88,91,100,9.89
107,Olean,US,2022-01-27 00:09:00,42.0776,-78.4297,16.48,78,40,0.0
108,Chernyshevskiy,RU,2022-01-27 00:09:00,63.0128,112.4714,-19.26,100,94,3.24
109,Pocatello,US,2022-01-27 00:09:01,42.8713,-112.4455,23.67,78,0,4.0
110,Touros,BR,2022-01-27 00:09:01,-5.1989,-35.4608,80.58,75,55,13.11
111,Kovur,IN,2022-01-27 00:09:02,14.4833,79.9833,72.99,81,98,0.54
112,Tiznit,MA,2022-01-27 00:09:02,29.5833,-9.5,51.35,64,3,5.59
113,Taman,RU,2022-01-27 00:09:03,45.2117,36.7161,26.92,75,67,6.42
114,Oistins,BB,2022-01-27 00:05:23,13.0667,-59.5333,73.49,83,40,6.91
115,Wembley,AU,2022-01-27 00:04:44,-31.9333,115.8,73.06,63,20,8.05
116,Udachnyy,RU,2022-01-27 00:09:03,66.4167,112.4,-15.11,90,77,5.35
117,Orsha,BY,2022-01-27 00:09:04,54.5153,30.4053,13.77,95,100,8.41
118,Mandera,KE,2022-01-27 00:07:43,3.9366,41.867,75.72,30,11,7.02
119,Cape Town,ZA,2022-01-27 00:09:04,-33.9258,18.4232,68.34,79,0,3.0
120,Salisbury,GB,2022-01-27 00:07:20,51.0693,-1.7957,47.08,85,95,11.88
121,Eureka,US,2022-01-27 00:09:05,40.8021,-124.1637,55.67,78,0,1.99
122,Yuli,NG,2022-01-27 00:09:05,9.6989,10.2744,69.04,22,17,8.3
123,Hauterive,FR,2022-01-27 00:09:06,46.0901,3.4459,27.36,87,9,1.54
124,Barraute,CA,2022-01-27 00:09:06,48.4335,-77.6328,-1.82,87,56,12.44
125,Kaitangata,NZ,2022-01-27 00:09:07,-46.2817,169.8464,56.93,51,40,14.43
126,Geraldton,AU,2022-01-27 00:09:07,-28.7667,114.6,74.12,68,0,11.5
127,Porto Walter,BR,2022-01-27 00:09:08,-8.2686,-72.7439,73.27,95,73,1.74
128,Jamestown,US,2022-01-27 00:06:18,42.097,-79.2353,16.92,72,100,8.05
129,Taksimo,RU,2022-01-27 00:09:08,56.3444,114.8794,-21.08,95,52,1.63
130,Egvekinot,RU,2022-01-27 00:09:09,66.3167,-179.1667,-17.75,85,47,1.25
131,Jian,CN,2022-01-27 00:09:09,27.1172,114.9793,46.92,93,100,8.37
132,Haines Junction,CA,2022-01-27 00:09:10,60.7522,-137.5108,18.36,97,100,1.45
133,Barrow,US,2022-01-27 00:09:10,71.2906,-156.7887,-11.18,70,0,14.97
134,Juneau,US,2022-01-27 00:09:10,58.3019,-134.4197,37.4,98,100,0.0
135,Luderitz,NA,2022-01-27 00:09:11,-26.6481,15.1594,69.49,67,9,19.28
136,Katsina,NG,2022-01-27 00:09:11,12.9894,7.6006,58.73,19,0,12.17
137,Ketchikan,US,2022-01-27 00:04:27,55.3422,-131.6461,39.18,93,20,6.91
138,Kahului,US,2022-01-27 00:24:13,20.8947,-156.47,82.42,64,20,14.97
139,Luba,GQ,2022-01-27 00:24:14,3.4568,8.5547,80.17,82,56,6.29
140,Norman Wells,CA,2022-01-27 00:24:14,65.282,-126.8329,8.64,85,75,5.75
141,Talitsa,RU,2022-01-27 00:24:14,56.8804,60.0213,9.14,93,95,7.96
142,Hakodate,JP,2022-01-27 00:24:15,41.7758,140.7367,31.98,80,40,2.3
143,Kruisfontein,ZA,2022-01-27 00:21:24,-34.0033,24.7314,65.88,96,98,1.21
144,Meulaboh,ID,2022-01-27 00:24:15,4.1363,96.1285,75.31,85,96,3.78
145,Theog,IN,2022-01-27 00:24:16,31.1167,77.35,27.25,75,23,4.18
146,Pecos,US,2022-01-27 00:24:16,31.4229,-103.4932,34.83,86,100,4.61
147,Quatre Cocos,MU,2022-01-27 00:24:16,-20.2078,57.7625,75.94,70,43,9.06
148,Tura,IN,2022-01-27 00:19:59,25.5198,90.2201,53.55,90,68,2.62
149,Hami,CN,2022-01-27 00:24:17,42.8,93.45,21.4,45,7,0.29
150,Mgandu,TZ,2022-01-27 00:24:17,-5.95,34.1333,61.66,96,97,4.56
151,Amahai,ID,2022-01-27 00:24:18,-3.3333,128.9167,83.52,69,99,2.89
152,Pevek,RU,2022-01-27 00:24:18,69.7008,170.3133,-32.75,98,55,3.42
153,Vestmannaeyjar,IS,2022-01-27 00:24:18,63.4427,-20.2734,35.55,70,90,3.94
154,Katsuura,JP,2022-01-27 00:21:07,35.1333,140.3,48.22,61,70,14.34
155,Comodoro Rivadavia,AR,2022-01-27 00:24:19,-45.8667,-67.5,64.26,45,0,4.61
156,Marinette,US,2022-01-27 00:24:19,45.1,-87.6307,9.05,66,0,13.8
157,Tigil,RU,2022-01-27 00:24:20,57.8,158.6667,-2.96,97,100,4.09
158,Atuona,PF,2022-01-27 00:24:20,-9.8,-139.0333,78.94,78,12,17.78
159,Beled,HU,2022-01-27 00:24:20,47.4659,17.0929,35.76,87,90,3.2
160,Longyearbyen,SJ,2022-01-27 00:22:01,78.2186,15.6401,10.24,61,75,14.97
161,Palora,EC,2022-01-27 00:24:21,-1.7,-77.9333,67.51,98,93,0.92
162,Grindavik,IS,2022-01-27 00:24:21,63.8424,-22.4338,28.35,93,40,8.05
163,Ginda,IN,2022-01-27 00:24:22,30.6945,78.4932,30.02,44,48,6.76
164,Kirakira,SB,2022-01-27 00:24:22,-10.4544,161.9205,79.39,87,100,7.45
165,Canton,CN,2022-01-27 00:24:23,23.1167,113.25,66.0,78,93,3.18
166,Hasaki,JP,2022-01-27 00:24:23,35.7333,140.8333,41.4,73,52,8.03
167,Shelburne,CA,2022-01-27 00:24:23,44.0787,-80.2041,10.29,87,50,9.62
168,Kiunga,PG,2022-01-27 00:24:24,-6.1219,141.2906,71.4,99,100,3.51
169,Sarmanovo,RU,2022-01-27 00:21:26,55.2553,52.5891,9.28,93,100,10.51
170,Andros Town,BS,2022-01-27 00:24:24,24.7,-77.7667,75.16,65,15,7.94
171,Gushikawa,JP,2022-01-27 00:24:25,26.3544,127.8686,69.39,73,40,3.44
172,Port Elizabeth,ZA,2022-01-27 00:23:15,-33.918,25.5701,68.09,94,100,8.05
173,Ilulissat,GL,2022-01-27 00:24:26,69.2167,-51.1,12.22,79,100,21.85
174,Saldanha,ZA,2022-01-27 00:24:26,-33.0117,17.9442,60.85,92,3,12.37
175,Diebougou,BF,2022-01-27 00:24:26,10.9667,-3.25,73.85,17,33,5.26
176,Borca,RO,2022-01-27 00:24:27,47.1833,25.7667,19.49,96,98,4.92
177,Tecoanapa,MX,2022-01-27 00:24:27,16.5167,-98.75,80.31,71,0,7.18
178,Kamina,CD,2022-01-27 00:24:28,-8.7386,24.9906,64.2,96,100,5.82
179,Ambon,ID,2022-01-27 00:21:52,-3.6954,128.1814,86.14,74,20,3.44
180,Beyneu,KZ,2022-01-27 00:24:28,45.3167,55.2,29.21,68,99,13.87
181,Huarmey,PE,2022-01-27 00:24:29,-10.0681,-78.1522,72.73,78,48,8.9
182,Isangel,VU,2022-01-27 00:21:47,-19.55,169.2667,84.63,74,85,4.52
183,Elat,IL,2022-01-27 00:24:29,29.5581,34.9482,48.04,61,20,0.0
184,Bellevue,US,2022-01-27 00:22:12,47.6104,-122.2007,44.4,83,0,1.01
185,Sambava,MG,2022-01-27 00:42:25,-14.2667,50.1667,73.51,86,17,9.04
186,Chuy,UY,2022-01-27 00:42:02,-33.6971,-53.4616,71.17,90,100,14.9
187,Constitucion,CL,2022-01-27 00:42:26,-35.3333,-72.4167,57.94,95,6,6.64
188,Takoradi,GH,2022-01-27 00:42:26,4.8845,-1.7554,78.55,88,0,5.48
189,Marsaxlokk,MT,2022-01-27 00:42:26,35.8419,14.5431,45.21,87,0,5.75
190,Madang,PG,2022-01-27 00:42:27,-5.2246,145.7966,84.87,70,100,3.91
