City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Munger,IN,2022-01-27 00:42:27,25.3833,86.4667,48.76,74,0,6.38
192,Kapaa,US,2022-01-27 00:40:22,22.0752,-159.319,79.12,70,75,1.01
193,Saskylakh,RU,2022-01-27 00:42:18,71.9167,114.0833,-10.35,92,46,4.27
194,Iqaluit,CA,2022-01-27 00:38:19,63.7506,-68.5145,-24.07,69,20,4.61
195,Richards Bay,ZA,2022-01-27 00:42:28,-28.783,32.0377,73.0,96,34,6.55
196,Quesnel,CA,2022-01-27 00:42:29,52.9999,-122.5029,19.9,93,0,0.0
197,Bonavista,CA,2022-01-27 00:42:29,48.6499,-53.1147,31.12,70,100,16.51
198,Mecca,SA,2022-01-27 00:40:15,21.4267,39.8261,65.1,56,94,15.17
199,Guarapari,BR,2022-01-27 00:42:30,-20.6667,-40.4975,75.88,90,77,11.79
200,San Patricio,US,2022-01-27 00:42:30,28.017,-97.5169,59.09,74,54,8.61
201,Glushkovo,RU,2022-01-27 00:42:31,51.3392,34.6328,5.74,97,89,1.66
202,Strezhevoy,RU,2022-01-27 00:42:31,60.7333,77.5889,1.38,100,96,6.29
203,Santa Marta,CO,2022-01-27 00:38:24,11.2408,-74.199,82.45,65,40,15.01
204,Hithadhoo,MV,2022-01-27 00:42:32,-0.6,73.0833,81.46,75,89,21.41
205,Kharp,RU,2022-01-27 00:42:32,66.8014,65.8081,6.96,92,100,5.37
206,Makat,KZ,2022-01-27 00:42:33,47.6469,53.3463,27.46,91,100,11.05
207,Ilhabela,BR,2022-01-27 00:42:33,-23.7781,-45.3581,77.25,89,41,5.61
208,Narsaq,GL,2022-01-27 00:42:34,60.9167,-46.05,17.82,72,97,16.84
209,Bandarbeyla,SO,2022-01-27 00:42:34,9.4942,50.8122,71.74,71,78,13.2
210,Ixtapa,MX,2022-01-27 00:42:35,20.7,-105.2,74.43,73,75,11.5
211,Husavik,IS,2022-01-27 00:42:35,66.0449,-17.3389,30.11,71,100,10.25
212,Mizdah,LY,2022-01-27 00:42:35,31.4451,12.9801,39.87,73,8,0.85
213,Santa Rosa,PH,2022-01-27 00:38:08,14.3122,121.1114,84.09,79,41,12.19
214,Rosetta,EG,2022-01-27 00:42:36,31.4044,30.4164,51.62,51,100,27.13
215,Broome,US,2022-01-27 00:42:36,42.2506,-75.833,9.01,76,8,1.99
216,Antofagasta,CL,2022-01-27 00:42:37,-23.65,-70.4,66.06,80,37,4.32
217,Carnarvon,AU,2022-01-27 00:42:37,-24.8667,113.6333,78.87,69,100,17.27
218,Russell,US,2022-01-27 00:42:38,32.3502,-85.1999,47.48,51,0,6.91
219,Tilichiki,RU,2022-01-27 00:42:38,60.4667,166.1,17.24,95,100,9.71
220,Padang,ID,2022-01-27 00:42:39,-0.9492,100.3543,75.25,77,100,3.02
221,Cabedelo,BR,2022-01-27 00:40:17,-6.9811,-34.8339,75.87,80,64,11.25
222,Orzhytsya,UA,2022-01-27 00:42:39,49.7918,32.7012,21.16,86,100,4.32
223,Ancud,CL,2022-01-27 00:42:40,-41.8697,-73.8203,71.13,78,0,1.12
224,Nelson Bay,AU,2022-01-27 00:42:40,-32.7167,152.15,83.28,56,0,3.0
225,Dunedin,NZ,2022-01-27 00:42:41,-45.8742,170.5036,58.8,59,56,15.01
226,Malatya,TR,2022-01-27 00:42:41,38.5,38.0,26.65,93,100,2.3
227,Natchez,US,2022-01-27 00:41:29,31.5604,-91.4032,40.44,56,0,6.91
228,Bowen,AU,2022-01-27 00:42:42,-20.0167,148.2333,75.42,93,100,7.27
229,Castro,BR,2022-01-27 00:41:57,-24.7911,-50.0119,67.96,89,100,1.83
230,Portmore,JM,2022-01-27 00:42:42,17.9702,-76.8672,80.56,79,40,14.97
231,Akdagmadeni,TR,2022-01-27 00:42:43,39.6603,35.8836,9.9,98,100,1.23
232,Nurota,UZ,2022-01-27 00:42:43,40.5614,65.6886,32.09,38,0,6.17
233,Redding,US,2022-01-27 00:42:44,40.5865,-122.3917,65.97,31,0,0.0
234,Ciudad Bolivar,VE,2022-01-27 00:43:45,8.1222,-63.5497,81.41,45,15,12.95
235,Peniche,PT,2022-01-27 00:43:45,39.3558,-9.3811,54.88,69,86,9.66
236,Mercedes,AR,2022-01-27 00:43:46,-34.6515,-59.4307,67.86,58,41,17.22
237,Vostok,RU,2022-01-27 00:43:46,46.4856,135.8833,4.1,88,99,3.13
238,Itororo,BR,2022-01-27 00:43:46,-15.1169,-40.0703,70.11,97,62,1.63
239,Pontian Kecil,MY,2022-01-27 00:43:47,1.4801,103.3899,80.73,82,100,5.59
240,Voh,NC,2022-01-27 00:43:47,-20.9667,164.7,88.29,56,39,7.94
241,Larap,PH,2022-01-27 00:43:48,14.299,122.6504,79.59,88,69,7.7
242,Sola,VU,2022-01-27 00:43:48,-13.8833,167.55,88.47,74,40,6.91
243,Half Moon Bay,US,2022-01-27 00:43:48,37.4636,-122.4286,64.08,65,0,0.0
244,Lompoc,US,2022-01-27 00:43:49,34.6391,-120.4579,63.25,67,0,11.5
245,Te Anau,NZ,2022-01-27 00:43:49,-45.4167,167.7167,60.73,41,35,3.8
246,Sistranda,NO,2022-01-27 00:43:50,63.7256,8.834,39.9,92,100,9.19
247,Ileza,RU,2022-01-27 00:43:50,61.0533,43.9002,-10.57,100,100,3.06
248,Hobyo,SO,2022-01-27 00:43:50,5.3505,48.5268,75.07,68,21,16.42
249,Sungaipenuh,ID,2022-01-27 00:43:51,-2.0833,101.3833,67.93,85,100,2.21
250,Manuk Mangkaw,PH,2022-01-27 00:43:51,4.8,119.85,81.28,79,76,3.58
251,Atbasar,KZ,2022-01-27 00:43:52,51.8,68.3333,-10.89,100,100,3.71
252,San Quintin,MX,2022-01-27 00:43:52,30.4833,-115.95,59.49,67,100,8.63
253,Tuatapere,NZ,2022-01-27 00:43:52,-46.1333,167.6833,58.82,50,20,9.1
254,Mbala,ZM,2022-01-27 00:43:53,-8.8402,31.3659,59.76,92,99,1.57
255,Los Llanos De Aridane,ES,2022-01-27 00:43:53,28.6585,-17.9182,56.95,78,75,8.99
256,Cockburn Town,TC,2022-01-27 00:43:53,21.4612,-71.1419,77.77,73,0,13.22
257,Labuhan,ID,2022-01-27 00:43:54,-6.8844,112.2051,80.69,81,100,9.69
258,Marsa Matruh,EG,2022-01-27 00:43:54,31.3525,27.2453,46.6,76,40,11.5
259,Constantine,DZ,2022-01-27 00:43:55,36.365,6.6147,33.21,80,0,1.14
260,Havoysund,NO,2022-01-27 00:43:55,70.9963,24.6622,29.28,73,100,7.29
261,Kodiak,US,2022-01-27 00:43:55,57.79,-152.4072,35.11,87,100,11.5
262,Leshukonskoye,RU,2022-01-27 00:43:56,64.8989,45.7622,-5.17,100,94,4.65
263,Imeni Poliny Osipenko,RU,2022-01-27 00:43:56,52.4201,136.4853,-11.27,99,100,2.62
264,Thunder Bay,CA,2022-01-27 00:43:56,48.4001,-89.3168,19.56,77,100,8.05
265,Okato,NZ,2022-01-27 00:43:57,-39.2,173.8833,71.91,58,10,12.5
266,Viedma,AR,2022-01-27 00:43:57,-40.8135,-62.9967,61.7,59,0,7.09
267,La Rioja,ES,2022-01-27 00:43:58,42.25,-2.5,33.12,45,0,6.24
268,Antalaha,MG,2022-01-27 00:43:58,-14.9003,50.2788,71.78,83,21,6.24
269,Severo-Kurilsk,RU,2022-01-27 00:43:59,50.6789,156.125,26.47,70,88,27.18
270,Fereydun Kenar,IR,2022-01-27 00:43:59,36.6864,52.5225,48.96,76,0,2.75
271,Ranong,TH,2022-01-27 00:43:59,9.9658,98.6348,76.93,77,24,2.53
272,Tiksi,RU,2022-01-27 00:44:00,71.6872,128.8694,0.36,88,75,17.38
273,Ulaangom,MN,2022-01-27 00:44:00,49.9811,92.0667,-16.69,96,100,1.43
274,Mitsamiouli,KM,2022-01-27 00:42:10,-11.3847,43.2844,79.84,75,91,5.57
275,Konevo,RU,2022-01-27 00:44:01,62.1215,39.3192,8.38,96,100,5.26
276,San Cristobal,VE,2022-01-27 00:44:01,7.7669,-72.225,73.58,86,100,1.74
277,Roald,NO,2022-01-27 00:44:02,62.5833,6.1333,40.12,87,100,11.5
278,Abalak,RU,2022-01-27 00:44:02,58.1286,68.5944,5.52,89,100,6.89
279,Conde,BR,2022-01-27 00:45:03,-7.2597,-34.9075,74.66,100,75,9.22
280,Akdepe,TM,2022-01-27 00:45:03,42.0551,59.3788,19.49,74,6,10.22
281,Machesney Park,US,2022-01-27 00:45:04,42.3472,-89.039,8.11,73,100,4.0
282,Ponta Do Sol,PT,2022-01-27 00:45:04,32.6667,-17.1,60.71,68,59,6.06
283,Gat,IL,2022-01-27 00:45:05,31.61,34.7642,45.28,100,75,26.33
284,Koumac,NC,2022-01-27 00:45:05,-20.5667,164.2833,83.53,68,54,9.71
285,Aklavik,CA,2022-01-27 00:45:06,68.2191,-135.0107,0.43,71,75,11.5
286,Maryville,US,2022-01-27 00:45:06,35.7565,-83.9705,34.0,49,20,6.91
287,Harindanga,IN,2022-01-27 00:45:07,22.0383,88.3214,64.38,85,5,7.72
288,General Pico,AR,2022-01-27 00:45:07,-35.6566,-63.7568,67.96,46,3,15.43
289,Petatlan,MX,2022-01-27 00:45:07,17.5167,-101.2667,75.04,78,4,2.24
290,Patacamaya,BO,2022-01-27 00:45:08,-17.2333,-67.9167,49.32,78,100,7.78
291,Fallon,US,2022-01-27 00:45:08,39.4735,-118.7774,44.47,38,20,9.22
292,Portland,US,2022-01-27 00:45:09,45.5234,-122.6762,48.22,68,20,8.99
293,Cidreira,BR,2022-01-27 00:43:37,-30.1811,-50.2056,73.99,95,100,2.39
294,Kavaratti,IN,2022-01-27 00:45:09,10.5669,72.642,77.23,62,100,8.19
295,Santa Isabel Do Rio Negro,BR,2022-01-27 00:45:10,-0.4139,-65.0192,74.12,97,95,1.19
296,Agua Prieta,MX,2022-01-27 00:45:10,31.3,-109.5667,56.37,28,98,3.27
297,Airai,TL,2022-01-27 00:44:49,-8.9266,125.4092,70.92,66,97,4.99
298,Sungai Besar,MY,2022-01-27 00:45:11,3.6746,100.9867,75.25,79,54,3.78
299,Nishihara,JP,2022-01-27 00:45:11,26.1842,127.7558,70.88,65,75,8.05
300,San Antonio,US,2022-01-27 00:44:50,29.4241,-98.4936,56.05,60,100,6.91
301,Kholodnyy,RU,2022-01-27 00:45:12,62.7167,147.95,-34.82,99,83,2.37
302,Tevaitoa,PF,2022-01-27 00:45:12,-16.7833,-151.5,81.0,77,18,18.5
303,Puerto Baquerizo Moreno,EC,2022-01-27 00:42:34,-0.9,-89.6,76.19,78,75,12.66
304,Asau,RO,2022-01-27 00:45:13,46.4333,26.4,27.52,86,95,6.69
305,Namibe,AO,2022-01-27 00:45:13,-15.1961,12.1522,76.15,82,100,7.27
306,Luanda,AO,2022-01-27 00:45:14,-8.8368,13.2343,77.0,88,75,6.91
307,Tessalit,ML,2022-01-27 00:45:14,20.1986,1.0114,60.94,23,100,14.65
308,Luan,CH,2022-01-27 00:45:14,46.3592,6.9759,29.68,91,8,1.99
309,Bozeman,US,2022-01-27 00:43:47,45.6796,-111.0386,26.71,68,0,1.99
310,Batemans Bay,AU,2022-01-27 00:45:15,-35.7167,150.1833,82.2,49,50,11.1
311,Vila Franca Do Campo,PT,2022-01-27 00:45:15,37.7167,-25.4333,59.41,77,20,10.04
312,Apiai,BR,2022-01-27 00:45:16,-24.5094,-48.8425,66.96,94,100,3.0
313,Providencia,MX,2022-01-27 00:45:16,28.7167,-111.5833,73.85,46,100,11.74
314,Sitka,US,2022-01-27 00:45:17,57.0531,-135.33,37.29,87,20,4.61
315,Chimore,BO,2022-01-27 00:45:17,-16.9833,-65.1333,73.42,95,100,2.53
316,Esna,EG,2022-01-27 00:45:17,25.2934,32.554,46.42,61,0,8.86
317,Meadow Lake,US,2022-01-27 00:45:18,34.8014,-106.5436,39.29,51,4,7.56
318,Ust-Nera,RU,2022-01-27 00:45:18,64.5667,143.2,-36.76,97,62,2.46
319,Vanavara,RU,2022-01-27 00:45:19,60.34,102.2797,-19.91,100,61,0.83
320,Amboasary,MG,2022-01-27 00:45:19,-25.0333,46.3833,73.24,89,0,4.18
321,Hukuntsi,BW,2022-01-27 00:45:19,-24.0,21.75,73.29,58,100,7.85
322,Awbari,LY,2022-01-27 00:45:20,26.5921,12.7805,39.85,43,9,6.76
323,Agadez,NE,2022-01-27 00:45:20,19.75,10.25,50.58,36,5,12.35
324,Dicabisagan,PH,2022-01-27 00:45:21,17.0818,122.4157,76.71,91,100,3.2
325,Maceio,BR,2022-01-27 00:41:38,-9.6658,-35.7353,81.84,83,75,6.91
326,Lircay,PE,2022-01-27 00:45:21,-12.9896,-74.7205,51.13,78,98,2.26
327,Blyth,GB,2022-01-27 00:45:21,55.1271,-1.5086,51.35,86,100,11.01
328,Fairbanks,US,2022-01-27 00:46:22,64.8378,-147.7164,-0.9,78,40,3.44
329,Sao Sebastiao,BR,2022-01-27 00:46:22,-23.76,-45.4097,76.77,89,47,5.88
330,Shingu,JP,2022-01-27 00:46:23,33.7333,135.9833,47.39,56,100,3.33
331,Olafsvik,IS,2022-01-27 00:44:33,64.8945,-23.7142,33.84,60,100,5.95
332,Yerbogachen,RU,2022-01-27 00:46:24,61.2767,108.0108,-18.9,100,100,3.8
333,Saint Anthony,US,2022-01-27 00:46:24,45.0205,-93.218,25.12,75,0,5.99
334,Ostrovnoy,RU,2022-01-27 00:45:17,68.0531,39.5131,9.84,97,58,18.43
335,Belmonte,BR,2022-01-27 00:46:25,-15.8631,-38.8828,75.7,87,100,6.89
336,Pambuhan,PH,2022-01-27 00:46:25,13.9736,123.0837,79.74,82,22,2.51
337,Yangjiang,CN,2022-01-27 00:46:26,21.85,111.9667,68.95,84,20,5.82
338,Hillsborough,US,2022-01-27 00:43:19,37.5741,-122.3794,63.48,65,0,1.99
339,Dwarka,IN,2022-01-27 00:46:26,22.2394,68.9678,64.45,43,0,9.73
340,Douentza,ML,2022-01-27 00:46:27,14.9951,-2.9517,67.86,12,100,5.37
341,Binga,ZW,2022-01-27 00:46:27,-17.6203,27.3414,70.11,96,100,5.64
342,Klyuchi,RU,2022-01-27 00:46:28,52.2667,79.1667,-10.21,100,96,4.43
343,Lorengau,PG,2022-01-27 00:46:28,-2.0226,147.2712,83.43,78,100,7.18
344,Broken Hill,AU,2022-01-27 00:46:29,-31.95,141.4333,89.31,37,3,10.36
345,Ornskoldsvik,SE,2022-01-27 00:46:29,63.2909,18.7153,13.15,92,99,3.44
346,Tautira,PF,2022-01-27 00:46:11,-17.7333,-149.15,84.22,77,36,16.51
347,Mayo,US,2022-01-27 00:46:29,38.8876,-76.5119,29.3,48,0,3.0
348,Aykhal,RU,2022-01-27 00:46:30,66.0,111.5,-8.81,82,94,7.36
349,Whithorn,JM,2022-01-27 00:46:30,18.2604,-78.0378,76.26,91,0,2.77
350,Batagay,RU,2022-01-27 00:46:31,67.6333,134.6333,-17.0,98,100,4.29
351,Pontianak,ID,2022-01-27 00:41:33,-0.0333,109.3333,73.38,100,100,0.0
352,Cuiluan,CN,2022-01-27 00:46:31,47.72,128.648,2.84,91,94,3.15
353,Gizo,SB,2022-01-27 00:46:32,-8.103,156.8419,83.68,71,98,9.28
354,Berlevag,NO,2022-01-27 00:46:32,70.8578,29.0864,23.54,82,99,15.17
355,Sapul,PH,2022-01-27 00:46:32,13.3652,121.1884,79.99,84,100,7.94
356,Kaili,ID,2022-01-27 00:46:33,-3.4626,120.2147,75.79,71,100,2.04
357,Palmer,US,2022-01-27 00:46:33,42.1584,-72.3287,18.21,55,0,4.61
358,Warrensburg,US,2022-01-27 00:46:34,38.7628,-93.7361,32.09,39,40,5.99
359,Rockhampton,AU,2022-01-27 00:46:34,-23.3833,150.5,84.09,61,100,10.36
360,Port-Gentil,GA,2022-01-27 00:46:34,-0.7193,8.7815,80.13,80,100,13.47
361,Warwick,US,2022-01-27 00:46:35,41.7001,-71.4162,21.88,39,0,16.11
362,Ngunguru,NZ,2022-01-27 00:46:35,-35.6167,174.5,78.17,49,0,12.28
363,Fortuna,US,2022-01-27 00:46:36,40.5982,-124.1573,53.42,88,0,1.01
364,Shubarkuduk,KZ,2022-01-27 00:46:36,49.1447,56.4872,25.18,97,100,7.74
365,Najran,SA,2022-01-27 00:46:36,17.4924,44.1277,50.65,43,0,6.02
366,Varnavino,RU,2022-01-27 00:46:37,57.4035,45.0916,3.13,99,92,2.8
367,Klaksvik,FO,2022-01-27 00:46:38,62.2266,-6.589,36.52,80,100,31.52
368,Mazatlan,MX,2022-01-27 00:46:38,23.2167,-106.4167,70.92,81,60,1.01
369,Adzope,CI,2022-01-27 00:46:38,6.1069,-3.8619,68.81,97,3,2.46
370,Samarai,PG,2022-01-27 00:46:39,-10.6167,150.6667,84.83,72,100,1.77
371,Eyl,SO,2022-01-27 00:46:39,7.9803,49.8164,69.06,73,100,12.93
372,Nagato,JP,2022-01-27 00:44:44,34.3833,131.2,45.19,58,89,4.29
373,Saint-Augustin,CA,2022-01-27 00:47:40,51.226,-58.6502,-6.97,83,2,10.78
374,Manavalakurichi,IN,2022-01-27 00:47:40,8.1333,77.3,75.29,84,96,5.3
375,Methoni,GR,2022-01-27 00:47:41,36.8197,21.7049,40.21,49,1,5.28
376,Huadian,CN,2022-01-27 00:47:41,42.9633,126.7478,1.89,91,58,1.74
377,Mastic Beach,US,2022-01-27 00:47:42,40.7668,-72.8521,24.55,46,0,1.01
378,College,US,2022-01-27 00:47:42,64.8569,-147.8028,-0.74,78,40,3.44
379,Victoria,HK,2022-01-27 00:45:50,22.2855,114.1577,69.33,87,60,8.99
380,Bilma,NE,2022-01-27 00:47:43,18.6853,12.9164,52.86,35,16,10.22
